Date_file,Midden:0-19,Midden:20+,Midden:Other,Noord:0-19,Noord:20+,Noord:Other,Zuid:0-19,Zuid:20+,Zuid:Other
2021-01-23,59324,355900,81,42711,264611,38,28162,193180,35
2021-01-24,59559,357369,81,42959,266189,39,28311,194391,35
2021-01-25,59775,358650,81,43142,267367,39,28460,195401,35
2021-01-26,59968,359854,81,43362,268632,39,28586,196310,35
2021-01-27,60219,361285,81,43565,270132,39,28734,197502,36
2021-01-28,60435,362729,81,43800,271531,39,28908,198693,36
2021-01-29,60633,364068,81,43980,272862,39,29059,199844,36
2021-01-30,60815,365317,80,44193,274150,39,29217,200927,37
2021-01-31,60974,366339,80,44403,275331,39,29352,201920,37
2021-02-01,61122,367310,80,44549,276268,39,29465,202793,37
2021-02-02,61300,368554,81,44717,277351,39,29586,203559,37
2021-02-03,61492,369716,80,44927,278602,39,29734,204610,37
2021-02-04,61682,370992,81,45162,279924,39,29899,205614,37
2021-02-05,61921,372462,81,45367,281166,39,30059,206619,37
2021-02-06,62128,373696,81,45590,282350,39,30218,207687,37
2021-02-07,62372,374863,81,45836,283597,39,30384,208551,37
2021-02-08,62484,375458,81,46015,284319,40,30483,209064,37
2021-02-09,62567,375972,82,46092,284856,40,30559,209520,37
2021-02-10,62739,376916,83,46247,285887,40,30696,210263,37
2021-02-11,63001,378409,83,46449,287257,40,30838,211188,37
2021-02-12,63205,379767,84,46696,288699,40,30975,212140,37
2021-02-13,63465,381111,84,46973,290082,40,31092,212953,37
2021-02-14,63656,382066,84,47171,291279,40,31210,213741,37
2021-02-15,63828,382827,84,47360,292253,40,31314,214351,37
2021-02-16,63977,383628,84,47536,293172,40,31407,214914,37
2021-02-17,64131,384746,87,47703,294284,40,31491,215637,37
2021-02-18,64494,386148,87,48005,295606,40,31633,216624,37
2021-02-19,64756,387521,87,48323,297173,40,31826,217637,37
2021-02-20,65038,388801,87,48607,298623,40,31999,218733,37
2021-02-21,65327,390096,87,48868,300122,40,32244,219818,37
2021-02-22,65602,391232,87,49184,301401,40,32463,220755,37
2021-02-23,65784,392411,87,49427,302609,40,32643,221560,37
2021-02-24,66048,393699,87,49736,303929,40,32850,222534,37
2021-02-25,66457,395289,87,50070,305319,40,33084,223588,37
2021-02-26,66758,396703,87,50484,307008,40,33315,224652,37
2021-02-27,67146,398145,87,50877,308590,40,33538,225561,37
2021-02-28,67471,399519,87,51248,310128,40,33744,226416,37
2021-03-01,67792,400671,87,51575,311265,41,33912,227072,37
2021-03-02,68096,401979,87,51890,312470,40,34090,227744,37
2021-03-03,68472,403344,87,52287,314072,40,34378,228713,37
2021-03-04,68818,404792,87,52615,315206,41,34523,229424,38
2021-03-05,69231,406195,87,52971,316566,41,34768,230316,38
2021-03-06,69618,407671,87,53427,318203,41,35018,231446,38
2021-03-07,69988,408967,87,53821,319586,41,35253,232294,38
2021-03-08,70339,410241,87,54093,320634,41,35443,232993,38
2021-03-09,70707,411574,87,54412,321875,41,35674,233794,38
2021-03-10,71178,413152,87,54832,323469,41,35928,234749,38
2021-03-11,71694,414937,87,55185,324946,41,36210,235658,38
2021-03-12,72199,416818,88,55651,326647,41,36555,236785,38
2021-03-13,72743,418934,88,56123,328428,41,36861,237962,38
2021-03-14,73283,420861,88,56584,329983,41,37182,239132,38
2021-03-15,73774,422541,88,57004,331511,41,37465,240199,38
2021-03-16,74236,424038,88,57389,332874,41,37740,241119,38
2021-03-17,74853,426012,88,57832,334444,41,38043,242136,38
2021-03-18,75441,427944,88,58316,336166,41,38333,243245,38
2021-03-19,76277,430501,88,58864,338069,41,38670,244439,38
2021-03-20,76944,432761,88,59470,339945,41,39152,246141,38
2021-03-21,77602,434960,88,60015,341772,41,39539,247490,38
2021-03-22,78281,437049,88,60467,343243,42,39892,248706,38
2021-03-23,78839,438866,89,60905,344639,42,40221,249727,38
2021-03-24,79638,441380,90,61413,346571,42,40635,251138,38
2021-03-25,80448,443874,90,62019,348502,42,41072,252562,38
2021-03-26,81352,446470,90,62585,350288,42,41488,253856,38
2021-03-27,82169,449317,90,63273,352547,42,41960,255571,38
2021-03-28,82845,451631,90,63832,354378,42,42412,257169,38
2021-03-29,83515,453697,90,64345,356039,42,42819,258570,38
2021-03-30,84125,455775,90,64724,357321,42,43145,259723,38
2021-03-31,84851,458470,90,65223,359150,42,43619,261133,38
2021-04-01,85627,461134,91,65720,361085,42,44080,262626,38
2021-04-02,86404,463645,91,66210,362727,42,44452,264087,38
2021-04-03,87041,466218,93,66694,364500,42,44938,265760,38
2021-04-04,87614,468533,93,67143,366030,42,45376,267277,38
2021-04-05,88191,470144,94,67508,367258,42,45732,268459,38
2021-04-06,88779,472005,95,67884,368539,43,46090,269534,38
2021-04-07,89432,474152,95,68323,369934,43,46466,270870,38
2021-04-08,90323,476948,95,68772,371554,43,46950,272413,38
2021-04-09,91019,479742,95,69217,373224,43,47404,273989,38
2021-04-10,91717,482354,95,69674,374963,44,47859,275703,38
2021-04-11,92482,485248,95,70115,376792,44,48367,277484,38
2021-04-12,93083,487341,95,70564,378306,44,48763,279106,38
