# Bron: https://www.cbs.nl/nl-nl/maatwerk/2015/20/religie-en-kerkbezoek-naar-gemeente-2010-2014
# Kerkelijke gezindte en kerkbezoek in 403 gemeenten, 2010/2014 (18 jaar en ouder 1)
# Kolom "Maandelijks%" is bevolkingsdeel dan minimaal 1x per maand een religieuze dienst bezoekt.
Provincie,Gemeente,Gemcode,Maandelijks%,Religieus%,dummy,Katholiek%,Hervormd%,Gereformeerd%,PKN%,Islam%,Joods%,Hindoe%,Boeddhist%,Anders%
Gelderland,Apeldoorn,200,16.4,47.0,,12.7,12.7,3.9,7.8,3.8,0.2,0.2,0.4,5.3
Gelderland,Arnhem,202,11.0,41.2,,17.8,4.7,2.1,3.2,7.3,0.0,0.6,0.6,4.8
Gelderland,Barneveld,203,49.6,73.8,,5.9,18.9,16.9,19.6,2.6,0.0,0.1,0.1,9.7
Gelderland,Berkelland,1859,13.0,55.0,,26.4,17.7,2.1,6.6,0.6,0.0,0.0,1.1,0.5
Gelderland,Beuningen,209,13.3,65.9,,56.0,3.1,0.6,1.8,1.9,0.0,0.3,0.4,1.8
Gelderland,Bronckhorst,1876,10.3,51.7,,19.0,21.5,0.7,7.1,0.5,0.0,0.0,0.0,2.9
Gelderland,Brummen,213,7.3,46.6,,12.5,18.8,0.7,5.3,4.9,0.0,0.0,0.0,4.3
Gelderland,Buren,214,10.8,49.5,,10.3,26.9,2.0,6.1,0.2,0.0,0.0,0.0,4.0
Gelderland,Culemborg,216,16.8,56.6,,20.0,9.5,2.8,7.1,9.7,0.0,0.6,0.3,6.5
Gelderland,Doesburg,221,14.8,42.8,,20.6,9.6,0.6,5.8,3.5,0.0,0.0,0.0,2.6
Gelderland,Doetinchem,222,14.1,50.3,,31.7,4.4,1.4,4.8,4.0,0.1,0.0,0.2,3.7
Gelderland,Druten,225,13.7,71.1,,57.6,3.9,1.1,2.6,2.4,0.0,0.2,0.4,2.8
Gelderland,Duiven,226,14.1,52.2,,32.2,7.6,2.3,3.9,1.2,0.3,0.0,0.6,4.2
Gelderland,Ede,228,35.3,59.1,,5.7,16.4,11.0,13.2,4.2,0.1,0.1,0.2,8.2
Gelderland,Elburg,230,50.0,75.5,,6.5,24.2,12.3,20.5,0.0,0.0,0.0,0.3,11.8
Gelderland,Epe,232,20.8,57.1,,9.7,29.5,3.8,8.0,2.1,0.0,0.0,0.0,4.1
Gelderland,Ermelo,233,41.4,68.2,,6.0,26.4,11.1,18.5,0.5,0.0,0.0,0.0,5.7
Gelderland,Geldermalsen,236,28.8,60.4,,10.3,27.3,7.1,6.2,2.1,0.1,0.0,0.4,6.8
Gelderland,Groesbeek,241,12.1,74.2,,68.5,3.1,0.0,0.2,0.8,0.0,0.0,0.4,1.2
Gelderland,Harderwijk,243,32.1,60.9,,5.8,19.6,8.5,14.0,7.1,0.2,0.1,0.2,5.4
Gelderland,Hattem,244,39.8,66.7,,8.9,13.3,25.1,15.6,0.0,0.0,0.0,0.0,3.8
Gelderland,Heerde,246,31.5,60.8,,1.3,29.5,9.7,9.9,1.3,0.0,0.0,0.2,8.8
Gelderland,Heumen,252,14.4,61.5,,54.5,0.5,0.0,1.3,1.8,0.0,0.0,1.0,2.3
Gelderland,Lingewaal,733,23.8,52.7,,6.9,27.6,3.1,8.4,3.4,0.0,0.0,1.9,1.5
Gelderland,Lingewaard,1705,7.9,63.9,,54.2,4.9,0.7,1.5,0.8,0.0,0.0,0.3,1.5
Gelderland,Lochem,262,8.9,49.1,,10.6,24.5,2.8,5.8,1.1,0.0,0.0,0.1,4.1
Gelderland,Maasdriel,263,14.3,66.8,,47.0,10.5,0.2,3.9,2.2,0.0,0.5,0.3,2.1
Gelderland,Millingen aan de Rijn,265,14.1,68.6,,65.7,0.6,0.6,0.0,0.0,0.0,0.0,0.6,1.2
Gelderland,Montferland,1955,12.3,74.0,,65.5,3.1,0.1,2.1,1.0,0.0,0.0,0.1,2.0
Gelderland,Neder-Betuwe,1740,39.1,71.6,,7.0,32.4,16.2,9.4,0.2,0.0,0.0,0.0,6.4
Gelderland,Neerijnen,304,23.9,63.1,,10.6,32.9,5.2,5.2,1.3,0.0,0.3,0.0,7.4
Gelderland,Nijkerk,267,40.3,67.4,,10.3,25.1,9.3,13.8,2.6,0.3,0.0,0.0,5.9
